mes,departamento,categoria,valor_orcado
2024-01,Financeiro,Salários,21854.31
2024-01,Financeiro,Projetos,47782.14
2024-01,Financeiro,Treinamentos,37939.73
2024-01,Financeiro,Outros,31939.63
2024-01,Operações,Salários,12020.84
2024-01,Operações,Projetos,12019.75
2024-01,Operações,Treinamentos,7613.76
2024-01,Operações,Outros,43977.93
2024-01,RH,Salários,32050.18
2024-01,RH,Projetos,36863.27
2024-01,RH,Treinamentos,5926.3
2024-01,RH,Outros,48645.94
2024-01,TI,Salários,42459.92
2024-01,TI,Projetos,14555.26
2024-01,TI,Treinamentos,13182.12
2024-01,TI,Outros,13253.2
2024-01,Marketing,Salários,18690.9
2024-01,Marketing,Projetos,28614.04
2024-01,Marketing,Treinamentos,24437.53
2024-01,Marketing,Outros,18105.31
2024-02,Financeiro,Salários,32533.38
2024-02,Financeiro,Projetos,11277.22
2024-02,Financeiro,Treinamentos,18146.51
2024-02,Financeiro,Outros,21486.28
2024-02,Operações,Salários,25523.15
2024-02,Operações,Projetos,40332.92
2024-02,Operações,Treinamentos,13985.32
2024-02,Operações,Outros,28140.55
2024-02,RH,Salários,31658.66
2024-02,RH,Projetos,7090.27
2024-02,RH,Treinamentos,32339.52
2024-02,RH,Outros,12673.59
2024-02,TI,Salários,7927.32
2024-02,TI,Projetos,47699.85
2024-02,TI,Treinamentos,48453.44
2024-02,TI,Outros,41377.88
2024-02,Marketing,Salários,18707.62
2024-02,Marketing,Projetos,9395.25
2024-02,Marketing,Treinamentos,35790.49
2024-02,Marketing,Outros,24806.86
2024-03,Financeiro,Salários,10491.72
2024-03,Financeiro,Projetos,27282.96
2024-03,Financeiro,Treinamentos,6547.48
2024-03,Financeiro,Outros,45919.42
2024-03,Operações,Salários,16645.1
2024-03,Operações,Projetos,34813.5
2024-03,Operações,Treinamentos,19027.0
2024-03,Operações,Outros,28403.06
2024-03,RH,Salários,29601.96
2024-03,RH,Projetos,13318.45
2024-03,RH,Treinamentos,48631.31
2024-03,RH,Outros,39880.98
2024-03,TI,Salários,47277.45
2024-03,TI,Projetos,45267.23
2024-03,TI,Treinamentos,31905.5
2024-03,TI,Outros,46484.34
2024-03,Marketing,Salários,8982.16
2024-03,Marketing,Projetos,13819.23
2024-03,Marketing,Treinamentos,7035.23
2024-03,Marketing,Outros,19639.86
2024-04,Financeiro,Salários,22490.48
2024-04,Financeiro,Projetos,17210.71
2024-04,Financeiro,Treinamentos,42293.19
2024-04,Financeiro,Outros,21053.9
2024-04,Operações,Salários,17642.05
2024-04,Operações,Projetos,29421.32
2024-04,Operações,Treinamentos,11341.59
2024-04,Operações,Outros,41098.86
2024-04,RH,Salários,8354.78
2024-04,RH,Projetos,49409.91
2024-04,RH,Treinamentos,39751.01
2024-04,RH,Outros,13942.21
2024-04,TI,Salários,5248.5
2024-04,TI,Projetos,41695.76
2024-04,TI,Treinamentos,36808.58
2024-04,TI,Outros,37805.32
2024-04,Marketing,Salários,39707.17
2024-04,Marketing,Projetos,8332.01
2024-04,Marketing,Treinamentos,21130.96
2024-04,Marketing,Outros,10214.11
2024-05,Financeiro,Salários,43839.65
2024-05,Financeiro,Projetos,33048.42
2024-05,Financeiro,Treinamentos,19890.41
2024-05,Financeiro,Outros,7860.13
2024-05,Operações,Salários,18994.2
2024-05,Operações,Projetos,19633.25
2024-05,Operações,Treinamentos,37832.28
2024-05,Operações,Outros,33690.09
2024-05,RH,Salários,44924.57
2024-05,RH,Projetos,26249.67
2024-05,RH,Treinamentos,10381.74
2024-05,RH,Outros,37096.02
2024-05,TI,Salários,39235.33
2024-05,TI,Projetos,30257.47
2024-05,TI,Treinamentos,39693.52
2024-05,TI,Outros,27220.8
2024-05,Marketing,Salários,28522.98
2024-05,Marketing,Projetos,24239.35
2024-05,Marketing,Treinamentos,6143.86
2024-05,Marketing,Outros,9855.11
2024-06,Financeiro,Salários,6414.31
2024-06,Financeiro,Projetos,33638.47
2024-06,Financeiro,Treinamentos,19146.02
2024-06,Financeiro,Outros,27885.68
2024-06,Operações,Salários,45840.49
2024-06,Operações,Projetos,16218.15
2024-06,Operações,Treinamentos,23467.23
2024-06,Operações,Outros,38999.8
2024-06,RH,Salários,15295.92
2024-06,RH,Projetos,8464.1
2024-06,RH,Treinamentos,18038.82
2024-06,RH,Outros,12254.96
2024-06,TI,Salários,46836.39
2024-06,TI,Projetos,41365.42
2024-06,TI,Treinamentos,33503.17
2024-06,TI,Outros,44215.73
2024-06,Marketing,Salários,41165.24
2024-06,Marketing,Projetos,13395.65
2024-06,Marketing,Treinamentos,45165.15
2024-06,Marketing,Outros,29270.4
2024-07,Financeiro,Salários,41334.81
2024-07,Financeiro,Projetos,45324.11
2024-07,Financeiro,Treinamentos,19310.16
2024-07,Financeiro,Outros,9952.34
2024-07,Operações,Salários,15257.08
2024-07,Operações,Projetos,24219.85
2024-07,Operações,Treinamentos,41810.66
2024-07,Operações,Outros,43732.88
2024-07,RH,Salários,5312.85
2024-07,RH,Projetos,27983.63
2024-07,RH,Treinamentos,23783.5
2024-07,RH,Outros,14994.85
2024-07,TI,Salários,10393.94
2024-07,TI,Projetos,20192.68
2024-07,TI,Treinamentos,47430.94
2024-07,TI,Outros,19544.13
2024-07,Marketing,Salários,28345.58
2024-07,Marketing,Projetos,36635.85
2024-07,Marketing,Treinamentos,21363.33
2024-07,Marketing,Outros,48730.19
2024-08,Financeiro,Salários,48310.13
2024-08,Financeiro,Projetos,16330.2
2024-08,Financeiro,Treinamentos,27376.18
2024-08,Financeiro,Outros,18539.52
2024-08,Operações,Salários,17817.82
2024-08,Operações,Projetos,6659.91
2024-08,Operações,Treinamentos,32430.4
2024-08,Operações,Outros,27620.56
2024-08,RH,Salários,7316.54
2024-08,RH,Projetos,17539.09
2024-08,RH,Treinamentos,45871.96
2024-08,RH,Outros,15780.29
2024-08,TI,Salários,11520.27
2024-08,TI,Projetos,27025.37
2024-08,TI,Treinamentos,49354.27
2024-08,TI,Outros,15892.49
2024-08,Marketing,Salários,35246.1
2024-08,Marketing,Projetos,39272.88
2024-08,Marketing,Treinamentos,15693.69
2024-08,Marketing,Outros,37769.74
2024-09,Financeiro,Salários,21550.24
2024-09,Financeiro,Projetos,33453.76
2024-09,Financeiro,Treinamentos,33508.84
2024-09,Financeiro,Outros,29109.86
2024-09,Operações,Salários,9063.04
2024-09,Operações,Projetos,42588.61
2024-09,Operações,Treinamentos,19435.1
2024-09,Operações,Outros,13393.33
2024-09,RH,Salários,6834.88
2024-09,RH,Projetos,31590.18
2024-09,RH,Treinamentos,35490.4
2024-09,RH,Outros,5746.45
2024-09,TI,Salários,28044.19
2024-09,TI,Projetos,15192.31
2024-09,TI,Treinamentos,34032.78
2024-09,TI,Outros,12846.49
2024-09,Marketing,Salários,36092.2
2024-09,Marketing,Projetos,22403.09
2024-09,Marketing,Treinamentos,47152.85
2024-09,Marketing,Outros,11188.44
2024-10,Financeiro,Salários,20347.99
2024-10,Financeiro,Projetos,10106.31
